Code,food_name,GI,GL
E039,"Mango, ripe, kesar (Mangifera indica)",,
E040,"Mango, ripe, neelam (Mangifera indica)",,
E041,"Mango, ripe, paheri (Mangifera indica)",,
E042,"Mango, ripe, totapari (Mangifera indica)",,
E043,Mangosteen (Garcinia mangostana),,
E044,Manila tamarind (Pithecellobium dulce),,
E045,"Musk melon, orange flesh (Cucumis melon)",,
E046,"Musk melon, yellow flesh (Cucumis melon)",,
E047,"Orange, pulp (Citrus aurantium)",,
E048,"Palm fruit, tender (Borassus flabellifer)",,
E049,"Papaya, ripe (Carica papaya)",,
E050,Peach (Prunus communis),,
E051,Pear (Pyrus sp.),,
E052,Phalsa (Grewia asiatica),,
E053,Pineapple  (Ananas comosus),,
E054,Plum (Prunus domestica),,
E055,"Pomegranate, maroon seeds (Punica granatum)",,
E056,Pummelo (Citrus maxima),,
E057,"Raisins, dried, black (Vitis vinifera)",,
E058,"Raisins, dried, golden (Vitis vinifera)",,
E059,Rambutan (Nephelium lappaceum),,
E060,Sapota (Achras sapota),,
E061,Soursop (Annona muricata),,
E062,Star fruit (Averrhoa carambola),,
E063,Strawberry (Fragaria x ananassa),,
E064,"Tamarind, pulp (Tamarindus indica)",,
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",,
E066,"Water melon, pale green (Citrullus vulgaris)",,
E067,Wood Apple (Limonia acidissima),,
E068,Zizyphus (Zizyphus jujube),,
F001,Beet root (Beta vulgaris),,
F002,"Carrot, orange (Daucus carota)",,
F003,"Carrot, red (Daucus carota)",,
F004,Colocasia (Colocasia esculenta),,
F005,Lotus root (Nelumbium nelumbo),,
F006,"Potato, brown skin, big (Solanum tuberosum)",,
F007,"Potato, brown skin, small (Solanum tuberosum)",,
F008,"Potato, red skin (Solanum tuberosum)",,
F009,"Radish, elongate, red skin (Raphanus sativus)",,
F010,"Radish, elongate, white skin (Raphanus sativus)",,
F011,"Radish, round, red skin (Raphanus sativus)",,
F012,"Radish, round, white skin (Raphanus sativus)",,
F013,"Sweet potato, brown skin (Ipomoea batatas)",,
F014,"Sweet potato, pink skin (Ipomoea batatas)",,
F015,Tapioca (Manihot esculenta),,
F016,Water Chestnut (Eleocharis dulcis),,
F017,"Yam, elephant (Amorphophallus campanulatus)",,
F018,"Yam, ordinary (Amorphophallus sp.)",,
F019,"Yam, wild (Dioscorea villosa)",,
