Code,food_name,gi,gi_category,gi_source
D038,Cho-cho-marrow (Sechium edule),50,low,"estimated (food-group based, ICFT aligned)"
D039,Cluster beans (Cyamopsis tetragonoloba),50,low,"estimated (food-group based, ICFT aligned)"
D040,"Colocasia, stem, black (Colocasia esculenta)",50,low,"estimated (food-group based, ICFT aligned)"
D041,"Colocasia, stem, green (Colocasia esculenta)",50,low,"estimated (food-group based, ICFT aligned)"
D042,"Corn, baby (Zea mays)",50,low,"estimated (food-group based, ICFT aligned)"
D043,"Cucumber, green, elongate (Cucumis sativus)",50,low,"estimated (food-group based, ICFT aligned)"
D044,"Cucumber, green, short (Cucumis sativus)",50,low,"estimated (food-group based, ICFT aligned)"
D045,"Cucumber, orange, round (Cucumis sativus)",50,low,"estimated (food-group based, ICFT aligned)"
D046,Drumstick (Moringa oleifera),50,low,"estimated (food-group based, ICFT aligned)"
D047,"Field beans, tender, broad (Vicia faba)",50,low,"estimated (food-group based, ICFT aligned)"
D048,"Field beans, tender, lean (Vicia faba)",50,low,"estimated (food-group based, ICFT aligned)"
D049,"French beans, country (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
D050,"French beans, hybrid  (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
D051,"Jack fruit, raw (Artocarpus heterophyllus)",50,low,"estimated (food-group based, ICFT aligned)"
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",50,low,"estimated (food-group based, ICFT aligned)"
D053,Knol - Khol (Brassica oleracea),50,low,"estimated (food-group based, ICFT aligned)"
D054,"Kovai, big (Coccinia cordifolia)",50,low,"estimated (food-group based, ICFT aligned)"
D055,"Kovai, small (Coccinia cordifolia)",50,low,"estimated (food-group based, ICFT aligned)"
D056,Ladies finger (Abelmoschus esculentus),50,low,"estimated (food-group based, ICFT aligned)"
D057,"Mango, green, raw (Mangifera indica)",50,low,"estimated (food-group based, ICFT aligned)"
D058,"Onion, stalk (Allium cepa)",50,low,"estimated (food-group based, ICFT aligned)"
D059,"Papaya, raw (Carica papaya)",50,low,"estimated (food-group based, ICFT aligned)"
D060,Parwar (Trichosanthes dioica),50,low,"estimated (food-group based, ICFT aligned)"
D061,"Peas, fresh (Pisum sativum)",50,low,"estimated (food-group based, ICFT aligned)"
D062,"Plantain, flower (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
D063,"Plantain, green (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
D064,"Plantain, stem (Musa x paradisiaca)",50,low,"estimated (food-group based, ICFT aligned)"
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",50,low,"estimated (food-group based, ICFT aligned)"
D066,"Pumpkin, orange,  round (Cucurbita maxima)",50,low,"estimated (food-group based, ICFT aligned)"
D067,"Red gram, tender, fresh (Cajanus cajan)",50,low,"estimated (food-group based, ICFT aligned)"
D068,Ridge gourd (Luffa acutangula),50,low,"estimated (food-group based, ICFT aligned)"
D069,"Ridge gourd, smooth skin (Luffa acutangula)",50,low,"estimated (food-group based, ICFT aligned)"
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",50,low,"estimated (food-group based, ICFT aligned)"
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",50,low,"estimated (food-group based, ICFT aligned)"
D072,"Snake gourd, short (Trichosanthes anguina)",50,low,"estimated (food-group based, ICFT aligned)"
D073,"Tinda, tender (Praecitrullus fistulosus)",50,low,"estimated (food-group based, ICFT aligned)"
D074,"Tomato, green (Solanum lycopersicum)",50,low,"estimated (food-group based, ICFT aligned)"
D075,"Tomato, ripe, hybrid ((Solanum lycopersicum)",50,low,"estimated (food-group based, ICFT aligned)"
D076,"Tomato, ripe, local (Lycopersicon esculentum)",50,low,"estimated (food-group based, ICFT aligned)"
D077,"Zucchini, green (Cucurbita pepo)",50,low,"estimated (food-group based, ICFT aligned)"
D078,"Zucchini, yellow  (Cucurbita pepo)",50,low,"estimated (food-group based, ICFT aligned)"
E001,"Apple, big (Malus domestica)",50,low,"estimated (food-group based, ICFT aligned)"
